valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.0594,1921,0.982,Sergei Rachmaninoff, James Levine, Berliner Philharmoniker,0.279,831667,0.211,0,4BJqT0PrAfrxzMOxytFOIz,0.878,10,0.665,-20.096,1,"Piano Concerto No. 3 in D Minor, Op. 30: III. Finale. Alla breve",4,1921,0.0366,80.954
0.963,1921,0.732,Dennis Day,0.8190000000000001,180533,0.341,0,7xPhfUan2yNtyFG0cUWkt8,0.0,7,0.16,-12.441,1,Clancy Lowered the Boom,5,1921,0.415,60.93600000000001
0.0394,1921,0.961,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.328,500062,0.166,0,1o6I8BglA6ylDMrIELygv1,0.913,3,0.101,-14.85,1,Gati Bali,5,1921,0.0339,110.339
0.165,1921,0.967,Frank Parker,0.275,210000,0.309,0,3ftBPsC5vPBKxYSee08FDH,2.77e-05,5,0.381,-9.316,1,Danny Boy,3,1921,0.0354,100.109
0.253,1921,0.957,Phil Regan,0.418,166693,0.193,0,4d6HGyGT8e121BsdKmw9v6,1.68e-06,3,0.229,-10.096,1,When Irish Eyes Are Smiling,2,1921,0.038,101.665
0.196,1921,0.579,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.6970000000000001,395076,0.34600000000000003,0,4pyw9DVHGStUre4J6hPngr,0.168,2,0.13,-12.505999999999998,1,Gati Mardika,6,1921,0.07,119.824
0.406,1921,0.996,John McCormack,0.518,159507,0.203,0,5uNZnElqOS3W4fRmRYPk4T,0.0,0,0.115,-10.589,1,The Wearing of the Green,4,1921,0.0615,66.221
0.0731,1921,0.993,Sergei Rachmaninoff,0.389,218773,0.08800000000000001,0,02GDntOXexBFUvSgaXLPkd,0.527,1,0.363,-21.091,0,"Morceaux de fantaisie, Op. 3: No. 2, Prélude in C-Sharp Minor. Lento",2,1921,0.0456,92.867
0.721,1921,0.996,Ignacio Corsini,0.485,161520,0.13,0,05xDjWH9ub67nJJk82yfGf,0.151,5,0.104,-21.50800000000001,0,La Mañanita - Remasterizado,0,1921-03-20,0.0483,64.678
0.7709999999999999,1921,0.982,Fortugé,0.684,196560,0.257,0,08zfJvRLp7pjAb94MA9JmF,0.0,8,0.504,-16.415,1,Il Etait Syndiqué,0,1921,0.399,109.378
0.826,1921,0.995,Maurice Chevalier,0.463,147133,0.26,0,0BMkRpQtDoKjcgzCpnqLNa,0.0,9,0.258,-16.894000000000002,1,Dans La Vie Faut Pas Sen Faire,0,1921,0.0557,85.146
0.578,1921,0.994,Ignacio Corsini,0.378,155413,0.115,0,0F30WM8qRpO8kdolepZqdM,0.906,10,0.11,-27.039,0,Por Que Me Dejaste - Remasterizado,0,1921-03-20,0.0414,70.37
0.493,1921,0.99,Georgel,0.315,190800,0.363,0,0H3k2CvJvHULnWChlbeFgx,0.0,5,0.292,-12.562,0,La Vipère,0,1921,0.0546,174.532
0.212,1921,0.912,Mehmet Kemiksiz,0.415,184973,0.42,0,0LcXzABeA84EgudqpNUN1I,0.89,8,0.108,-10.765999999999998,0,Ud Taksimi,0,1921,0.114,70.758
0.493,1921,0.0175,Zay Gatsby,0.527,205072,0.691,1,0MJZ4hh60zwsYleWWxT5yW,0.384,7,0.358,-7.297999999999999,1,Power Is Power,0,1921-03-27,0.0326,159.935
